United Arab Emirates,13885
Afghanistan,12357
Antigua and Barbuda,1650
Albania,882
Armenia,1524
Angola,611
Argentina,2647
American Samoa,112374
Australia,8206
Bosnia and Herzegovina,240
Belgium,10792
Burkina Faso,979
Bulgaria,5249
Bermuda,1877
Bolivia,1369
Brazil,12573
Canada,66111
Congo,104
Switzerland,67111
C̫te d'Ivoire,2624
Cameroon,1340
Colombia,1685
Cuba,2327
Djibouti,1656
Ecuador,756
Egypt,17803
Eritrea,104
Ethiopia,1426
Finland,2050
Fiji,1429
France,39572
Gabon,467
Guernsey,846
Ghana,5731
Gambia,24438
Greece,7679
Guyana,682
Hong Kong,2608
Croatia,1089
Hungary,2589
Indonesia,7312
India,121183
Iran,9538
Iceland,11582
Italy,17062
Jersey,429
Jamaica,2081
Jordan,2051
Kenya,8960
Kyrgyzstan,277
Saint Kitts and Nevis,9065
Kazakhstan,1168
Liechtenstein,1514
Luxembourg,123
Libyan Arab Jamahiriya,3170
Mali,1998
Macao,2339
Malta,364
Mauritius,922
Mexico,11104
Malaysia,9520
Mozambique,918
Nicaragua,32382
Netherlands,7530
Norway,3925
Nepal,2889
New Zealand,14318
Peru,2491
Pakistan,22990
Poland,5106
Saint Pierre and Miquelon,1619
Qatar,2811
Romania,3607
Serbia,22972
Rwanda,1146
Saudi Arabia,7598
Singapore,1090
Slovenia,745
Sierra Leone,648
Senegal,5227
Somalia,5478
Syrian Arab Republic,18506
Swaziland,15853
Chad,657
Thailand,10341
Taiwan,6163
Tanzania,2912
Uganda,5874
United States,772791
Venezuela,3930
South Africa,1343
